metric,year,channel,month,value
Overall Return Rate,2025,Amazon,Jan,0.108
Overall Return Rate,2025,Amazon,Feb,0.098
Overall Return Rate,2025,Amazon,Mar,0.0871
Overall Return Rate,2025,Amazon,Apr,0.098
Overall Return Rate,2025,B2B,Jan,0.0224
Overall Return Rate,2025,B2B,Feb,0.0202
Overall Return Rate,2025,B2B,Mar,0.0175
Overall Return Rate,2025,B2B,Apr,0.0226
Overall Return Rate,2024,Amazon,Jan,0.125
Overall Return Rate,2024,Amazon,Feb,0.11
Overall Return Rate,2024,Amazon,Mar,0.098
Overall Return Rate,2024,Amazon,Apr,0.0978
Overall Return Rate,2024,Amazon,May,0.0982
Overall Return Rate,2024,Amazon,Jun,0.1128
Overall Return Rate,2024,Amazon,Jul,0.105
Overall Return Rate,2024,Amazon,Aug,0.105
Overall Return Rate,2024,Amazon,Sep,0.105
Overall Return Rate,2024,Amazon,Oct,0.099
Overall Return Rate,2024,Amazon,Nov,0.0827
Overall Return Rate,2024,Amazon,Dec,0.079
Overall Return Rate,2024,B2B,Jan,0.0252
Overall Return Rate,2024,B2B,Feb,0.0256
Overall Return Rate,2024,B2B,Mar,0.0305
Overall Return Rate,2024,B2B,Apr,0.0264
Overall Return Rate,2024,B2B,May,0.0245
Overall Return Rate,2024,B2B,Jun,0.0199
Overall Return Rate,2024,B2B,Jul,0.0191
Overall Return Rate,2024,B2B,Aug,0.0214
Overall Return Rate,2024,B2B,Sep,0.0299
Overall Return Rate,2024,B2B,Oct,0.015
Overall Return Rate,2024,B2B,Nov,0.0174
Overall Return Rate,2024,B2B,Dec,0.0179
Overall Return Rate,2023,Amazon,Jan,0.0968
Overall Return Rate,2023,Amazon,Feb,0.0842
Overall Return Rate,2023,Amazon,Mar,0.073
Overall Return Rate,2023,Amazon,Apr,0.0878
Overall Return Rate,2023,Amazon,May,0.0912
Overall Return Rate,2023,Amazon,Jun,0.0912
Overall Return Rate,2023,Amazon,Jul,0.0906
Overall Return Rate,2023,Amazon,Aug,0.0874
Overall Return Rate,2023,Amazon,Sep,0.0902
Overall Return Rate,2023,Amazon,Oct,0.107
Overall Return Rate,2023,Amazon,Nov,0.083
Overall Return Rate,2023,Amazon,Dec,0.094
Overall Return Rate,2023,B2B,Mar,0.043
Overall Return Rate,2023,B2B,Apr,0.026
Overall Return Rate,2023,B2B,May,0.0326
Overall Return Rate,2023,B2B,Jun,0.0326
Overall Return Rate,2023,B2B,Jul,0.036
Overall Return Rate,2023,B2B,Aug,0.0364
Overall Return Rate,2023,B2B,Oct,0.0713
Overall Return Rate,2023,B2B,Dec,0.0605
Total Orders,2025,Total,Jan,121
Total Orders,2025,Total,Feb,84
Total Orders,2025,Total,Mar,202
Total Orders,2025,Total,Apr,154
Total Orders,2024,Total,Jan,136
Total Orders,2024,Total,Feb,28
Total Orders,2024,Total,Mar,201
Total Orders,2024,Total,Apr,287
Total Orders,2024,Total,May,207
Total Orders,2024,Total,Jun,230
Total Orders,2024,Total,Jul,165
Total Orders,2024,Total,Aug,149
Total Orders,2024,Total,Sep,167
Total Orders,2024,Total,Oct,159
Total Orders,2024,Total,Nov,230
Total Orders,2024,Total,Dec,272
Total Orders,2023,Total,Jan,85
Total Orders,2023,Total,Feb,108
Total Orders,2023,Total,Mar,131
Total Orders,2023,Total,Apr,117
Total Orders,2023,Total,Jun,314
Total Orders,2023,Total,Jul,343
Total Orders,2023,Total,Aug,193
